PERMIS,ACV,SEX,STATUT,CSP,USAGE,AGECOND,K8000,RM,CAR,CLA,ALI,ENE,VIT,SEGM,CHARGE,GARAGE
367,10,M,C,50,1,49,O,50,BER,A,CAR,ES,130-140,A,0.0,3
342,7,M,A,42,1,47,N,50,BER,A,INJ,ES,130-140,A,0.0,3
292,10,M,C,50,2,43,N,50,BER,A,CAR,ES,001-130,0,0.0,3
378,7,M,A,2,3,49,N,73,BER,A,INJ,ES,150-160,B,0.0,3
190,10,M,A,50,3,34,N,85,BER,A,CAR,ES,130-140,A,0.0,3
25,10,M,A,26,2,22,N,90,BER,A,CAR,ES,001-130,B,0.0,3
112,10,M,A,50,2,27,N,60,BER,A,CAR,ES,001-130,A,0.0,3
156,10,M,A,50,2,32,N,95,BER,A,INJ,ES,130-140,A,0.0,3
123,10,M,C,50,1,33,N,95,BER,A,CAR,ES,001-130,B,0.0,2
141,10,M,A,50,2,30,O,57,BER,A,CAR,ES,001-130,A,0.0,3
150,9,M,A,50,2,35,O,85,BER,A,INJ,ES,140-150,B,0.0,3
169,10,M,C,50,2,32,N,90,BER,A,CAR,ES,130-140,B,0.0,3
401,10,M,A,50,1,52,O,50,BER,A,CAR,ES,001-130,B,0.0,1
387,9,M,A,50,2,51,N,50,BER,A,INJ,ES,130-140,A,0.0,3
414,10,M,A,50,1,52,N,90,BER,A,INJ,ES,150-160,B,0.0,3
440,7,M,A,55,3,55,N,58,BER,A,INJ,ES,130-140,A,1093.413897,3
123,10,M,A,50,2,28,N,57,BER,A,CAR,ES,001-130,B,0.0,3
294,9,M,A,50,2,50,O,72,BER,A,INJ,ES,130-140,M1,0.0,2
209,10,M,A,55,2,37,N,50,BER,A,CAR,ES,001-130,0,0.0,3
73,10,M,C,50,2,34,N,95,BER,A,CAR,ES,001-130,B,0.0,3
186,10,M,C,50,1,36,O,50,BER,A,CAR,ES,130-140,A,0.0,3
270,10,M,C,55,2,41,N,54,BER,A,CAR,ES,001-130,B,0.0,3
149,10,M,A,50,2,50,N,90,BER,A,CAR,ES,130-140,A,0.0,3
490,10,M,A,50,2,58,O,50,BER,A,CAR,ES,001-130,A,0.0,3
490,10,M,A,60,1,64,N,50,BER,A,CAR,ES,150-160,0,0.0,3
604,10,M,A,60,1,76,N,50,BER,A,CAR,ES,160-170,0,0.0,3
157,10,M,C,50,1,31,O,72,BER,A,CAR,ES,001-130,0,0.0,3
182,10,M,C,50,2,33,N,95,BER,A,CAR,ES,001-130,A,0.0,3
333,10,M,C,50,2,48,N,95,BER,A,CAR,ES,001-130,A,0.0,3
423,10,M,C,50,3,53,N,50,BER,A,CAR,ES,130-140,A,0.0,3
192,10,M,C,50,2,38,O,54,BER,A,CAR,ES,150-160,A,0.0,3
196,10,M,A,50,2,34,O,50,BER,A,CAR,ES,001-130,B,0.0,3
253,10,M,A,50,1,39,O,50,BER,A,CAR,ES,001-130,A,0.0,3
469,10,M,A,50,2,57,N,50,BER,A,CAR,ES,001-130,B,0.0,3
573,10,M,A,60,1,65,O,50,BER,A,CAR,ES,150-160,0,0.0,3
220,10,M,C,1,2,37,N,50,BER,A,CAR,ES,130-140,A,0.0,1
95,10,M,C,50,2,32,N,85,BER,A,CAR,ES,140-150,B,0.0,3
343,10,M,A,50,1,47,O,50,BER,A,CAR,ES,001-130,B,0.0,3
126,10,M,C,50,1,29,N,68,BER,A,CAR,ES,001-130,B,0.0,3
201,9,M,C,55,1,34,N,85,BER,A,INJ,ES,130-140,A,0.0,3
214,10,M,A,46,1,49,N,85,BER,A,CAR,ES,001-130,B,0.0,3
276,10,M,A,50,1,42,N,95,BER,A,CAR,ES,001-130,B,0.0,3
234,10,M,C,50,2,37,N,68,BER,A,CAR,ES,001-130,B,0.0,3
441,10,M,A,1,1,54,N,95,BER,A,CAR,ES,001-130,A,0.0,3
154,9,M,A,50,2,31,N,54,BER,A,INJ,ES,140-150,B,0.0,3
120,9,M,C,26,2,30,N,57,BER,A,INJ,ES,130-140,A,0.0,3
296,10,M,A,50,2,45,N,90,BER,A,CAR,ES,001-130,A,0.0,3
339,10,M,A,50,1,57,O,55,BER,A,CAR,ES,001-130,B,0.0,3
395,10,M,A,50,1,51,N,60,BER,A,CAR,ES,130-140,B,0.0,3
364,2,M,A,50,2,48,O,50,BER,A,INJ,ES,130-140,A,0.0,3
33,10,F,A,50,1,23,N,90,BER,A,CAR,ES,001-130,B,0.0,3
30,10,F,C,26,2,32,N,118,BER,A,CAR,ES,001-130,A,0.0,2
514,10,M,A,60,1,70,O,50,BER,A,CAR,ES,001-130,B,0.0,3
265,10,F,C,50,2,40,N,50,BER,A,CAR,ES,130-140,A,0.0,1
402,10,F,C,50,2,55,O,50,BER,A,CAR,ES,001-130,0,0.0,3
462,10,F,A,60,1,63,O,50,BER,A,CAR,ES,001-130,0,0.0,3
348,9,M,A,50,2,47,N,54,BER,A,INJ,ES,130-140,A,0.0,3
390,10,M,A,50,1,51,O,50,BER,A,CAR,ES,130-140,A,0.0,3
183,10,F,A,50,2,35,N,95,BER,B,CAR,ES,140-150,B,0.0,3
420,7,F,A,50,2,55,O,50,BER,B,INJ,ES,140-150,B,0.0,3
91,10,F,C,50,2,29,N,95,BER,B,CAR,ES,140-150,B,0.0,3
338,5,F,C,50,1,51,N,72,BER,B,INJ,ES,150-160,A,0.0,3
277,10,F,A,50,1,52,N,50,BER,B,CAR,ES,140-150,B,0.0,3
17,10,F,C,26,2,19,N,95,BER,B,CAR,ES,001-130,B,0.0,3
518,10,F,A,60,1,61,N,50,BER,B,CAR,ES,001-130,0,0.0,3
97,10,F,A,37,1,28,N,95,BER,B,CAR,ES,140-150,B,0.0,3
278,10,M,A,42,3,44,N,60,BER,B,CAR,ES,140-150,B,0.0,3
48,10,M,C,50,2,28,N,80,BER,B,CAR,ES,001-130,B,0.0,3
367,10,M,C,50,2,51,N,100,BER,B,CAR,ES,130-140,A,0.0,3
184,10,M,C,50,2,36,N,50,BER,B,CAR,ES,140-150,B,0.0,3
623,10,M,A,60,1,70,O,50,BER,B,CAR,ES,130-140,B,0.0,3
346,10,M,A,50,2,50,N,50,BER,B,CAR,ES,140-150,B,0.0,3
365,3,F,A,60,1,79,N,50,BER,B,INJ,ES,140-150,A,2065.468278,3
276,10,F,A,55,1,41,N,95,BER,B,CAR,ES,130-140,A,0.0,3
247,10,F,A,37,1,49,N,68,BER,B,CAR,ES,140-150,A,0.0,3
220,10,F,A,50,1,41,N,90,BER,B,CAR,ES,001-130,A,0.0,3
321,10,F,C,50,1,46,O,57,BER,B,CAR,ES,130-140,B,0.0,1
188,10,F,A,1,1,41,N,50,BER,B,CAR,ES,130-140,A,0.0,3
189,10,F,C,1,2,36,N,90,BER,B,CAR,ES,140-150,B,0.0,3
505,5,F,A,60,1,80,N,50,BER,B,INJ,ES,140-150,A,0.0,3
311,10,F,C,50,2,44,O,50,BER,B,CAR,ES,150-160,B,0.0,3
155,9,F,A,55,1,33,O,68,BER,B,INJ,ES,140-150,B,0.0,3
501,10,F,A,60,1,65,O,50,BER,B,CAR,ES,140-150,A,0.0,3
133,10,F,A,1,1,32,N,72,BER,B,CAR,ES,140-150,A,0.0,3
250,10,F,A,50,2,39,N,76,BER,B,CAR,ES,130-140,0,0.0,3
90,10,F,A,50,1,28,N,95,BER,B,CAR,ES,140-150,B,0.0,3
480,10,F,A,60,1,67,N,50,BER,B,CAR,ES,140-150,0,0.0,3
232,10,F,C,50,3,38,N,51,BER,B,CAR,ES,130-140,A,0.0,3
161,10,F,A,50,2,37,N,50,BER,B,CAR,ES,140-150,B,0.0,3
263,10,F,A,50,2,42,N,50,BER,B,CAR,ES,130-140,B,0.0,3
322,10,F,A,50,2,53,N,50,BER,B,CAR,ES,130-140,B,0.0,3
345,10,F,A,50,2,48,N,72,BER,B,CAR,ES,140-150,B,0.0,3
539,10,F,A,55,1,78,O,50,BER,B,CAR,ES,001-130,B,0.0,3
14,10,F,C,26,2,21,N,95,BER,B,CAR,ES,150-160,B,0.0,3
145,10,F,A,50,2,30,O,54,BER,B,CAR,ES,001-130,B,0.0,3
210,10,F,A,50,2,42,O,72,BER,B,CAR,ES,001-130,A,0.0,3
144,10,F,A,50,1,34,O,85,BER,B,CAR,ES,140-150,A,0.0,3
404,10,F,A,50,2,59,N,50,BER,B,CAR,ES,150-160,B,0.0,3
29,10,F,C,26,2,24,N,90,BER,B,CAR,ES,140-150,B,0.0,3
97,7,F,C,26,2,27,N,68,BER,B,INJ,ES,140-150,B,0.0,3
462,10,F,C,60,1,70,N,50,BER,B,CAR,ES,140-150,B,0.0,3
12,10,F,A,50,2,31,N,95,BER,B,CAR,ES,140-150,B,0.0,3
187,10,F,A,50,2,35,O,68,BER,B,CAR,ES,140-150,B,0.0,3
339,4,F,A,50,2,55,N,55,BER,B,INJ,ES,140-150,A,0.0,3
57,10,F,C,26,2,24,N,95,BER,B,CAR,ES,140-150,B,0.0,3
73,10,F,C,50,2,26,O,72,BER,B,CAR,ES,130-140,A,0.0,3
37,10,F,C,50,3,25,N,95,BER,B,CAR,ES,140-150,A,0.0,3
239,3,F,A,37,1,39,N,50,BER,B,INJ,ES,130-140,A,0.0,3
112,10,F,A,50,1,32,N,60,BER,B,CAR,ES,001-130,B,0.0,3
373,10,F,A,50,2,55,N,50,BER,B,CAR,ES,001-130,A,0.0,3
236,10,F,A,50,1,39,O,57,BER,B,CAR,ES,130-140,B,0.0,3
90,10,F,A,50,2,29,O,85,BER,B,CAR,ES,140-150,B,0.0,3
369,10,F,A,50,1,49,N,50,BER,B,CAR,ES,140-150,B,0.0,2
361,10,F,A,50,1,50,N,50,BER,B,CAR,ES,140-150,B,0.0,3
224,9,F,A,50,2,53,N,95,BER,B,INJ,ES,140-150,B,0.0,3
545,9,F,A,50,2,65,N,50,BER,B,INJ,ES,140-150,A,0.0,3
522,7,F,A,60,1,77,O,50,BER,B,INJ,ES,130-140,A,0.0,2
132,10,F,C,50,2,29,N,90,BER,B,INJ,ES,140-150,A,0.0,3
118,1,F,C,50,2,31,N,90,BER,B,INJ,ES,140-150,A,0.0,3
400,10,F,A,50,1,53,N,50,BER,B,CAR,ES,140-150,B,0.0,3
162,10,F,C,55,1,55,N,95,BER,B,CAR,ES,140-150,B,0.0,2
555,10,F,A,37,1,71,N,50,BER,B,CAR,ES,140-150,B,0.0,3
67,10,F,C,37,1,26,N,95,BER,B,CAR,ES,130-140,B,0.0,2
461,10,F,A,1,3,61,N,52,BER,B,CAR,ES,130-140,A,0.0,3
241,5,F,A,55,2,39,N,54,BER,B,INJ,ES,150-160,A,0.0,3
447,3,F,C,1,2,57,N,50,BER,B,INJ,ES,140-150,A,0.0,3
277,10,F,A,50,2,41,N,80,BER,B,CAR,ES,001-130,B,0.0,3
579,10,F,A,60,1,82,N,50,BER,B,CAR,ES,001-130,B,0.0,3
26,7,F,C,50,2,21,N,95,BER,B,INJ,ES,140-150,B,0.0,3
85,7,M,C,26,2,27,N,85,BER,B,INJ,ES,130-140,A,0.0,3
391,10,M,C,50,2,51,O,50,BER,B,CAR,ES,001-130,0,0.0,3
291,10,M,C,50,2,54,N,106,BER,B,CAR,ES,140-150,B,0.0,3
74,10,M,C,50,3,26,N,100,BER,B,CAR,ES,140-150,B,0.0,3
482,10,M,A,50,1,59,O,62,BER,B,CAR,ES,150-160,0,0.0,2
329,10,M,A,50,2,48,N,55,BER,B,CAR,ES,140-150,B,0.0,3
98,10,M,C,42,1,28,N,95,BER,B,CAR,ES,140-150,B,0.0,3
88,10,M,A,50,2,36,N,90,BER,B,CAR,ES,001-130,A,0.0,3
567,10,M,A,60,1,66,N,50,BER,B,CAR,ES,130-140,B,0.0,3
119,10,M,C,50,2,28,N,90,BER,B,CAR,ES,130-140,B,0.0,2
375,10,M,C,60,1,50,N,95,BER,B,CAR,ES,140-150,A,0.0,3
123,9,M,C,50,2,32,N,76,BER,B,INJ,ES,140-150,B,0.0,2
215,10,M,A,50,2,46,N,50,BER,B,CAR,ES,140-150,A,0.0,3
456,10,M,A,50,2,60,N,50,BER,B,CAR,ES,140-150,B,0.0,3
184,10,M,A,55,2,34,N,95,BER,B,CAR,ES,001-130,B,0.0,3
376,0,M,C,50,2,54,N,80,BER,B,INJ,ES,140-150,A,0.0,3
182,10,M,A,48,1,34,O,50,BER,B,CAR,ES,140-150,B,0.0,2
25,10,M,C,26,2,21,N,90,BER,B,CAR,ES,130-140,A,0.0,3
173,7,M,A,47,1,34,N,59,BER,B,INJ,ES,140-150,B,0.0,2
96,10,M,A,48,3,26,N,64,BER,B,CAR,ES,001-130,B,0.0,3
167,10,M,A,50,2,34,O,50,BER,B,CAR,ES,001-130,A,0.0,2
84,10,M,A,50,1,27,N,95,BER,B,CAR,ES,140-150,B,0.0,3
167,10,M,A,50,2,48,O,50,BER,B,CAR,ES,140-150,A,0.0,3
290,10,M,A,60,1,61,O,54,BER,B,CAR,ES,140-150,B,0.0,3
142,10,M,C,50,2,30,O,57,BER,B,CAR,ES,130-140,B,0.0,3
72,10,M,C,50,2,27,N,90,BER,B,CAR,ES,140-150,B,0.0,3
220,10,M,C,50,2,36,O,50,BER,B,CAR,ES,140-150,B,0.0,3
155,10,M,C,50,2,33,N,57,BER,B,CAR,ES,150-160,B,0.0,3
323,10,M,A,50,2,54,O,57,BER,B,CAR,ES,130-140,B,0.0,3
459,10,M,A,50,2,56,N,58,BER,B,CAR,ES,140-150,B,0.0,3
421,3,M,A,50,1,57,O,50,BER,B,INJ,ES,140-150,A,0.0,3
366,10,M,A,55,1,51,N,50,BER,B,CAR,ES,001-130,B,0.0,2
638,10,M,A,60,1,72,O,50,BER,B,CAR,ES,150-160,0,0.0,1
93,10,M,C,50,2,28,N,90,BER,B,CAR,ES,140-150,B,0.0,3
179,10,M,C,50,2,34,N,64,BER,B,CAR,ES,140-150,B,0.0,3
330,5,M,C,50,1,71,N,50,BER,B,INJ,ES,130-140,A,0.0,2
333,9,M,C,50,2,46,N,95,BER,B,INJ,ES,140-150,B,0.0,3
63,10,M,A,50,2,30,N,85,BER,B,CAR,ES,130-140,B,0.0,3
592,10,M,A,60,1,71,O,50,BER,B,CAR,ES,130-140,A,0.0,3
154,10,M,C,50,1,31,N,54,BER,B,CAR,ES,001-130,A,0.0,1
127,10,M,C,50,2,30,N,72,BER,B,CAR,ES,130-140,B,0.0,1
310,10,M,A,50,2,52,N,50,BER,B,CAR,ES,140-150,B,0.0,3
497,10,M,A,50,1,72,N,50,BER,B,CAR,ES,140-150,B,0.0,2
12,10,M,C,26,2,20,N,125,BER,B,CAR,ES,140-150,B,0.0,3
109,10,M,C,50,2,27,N,85,BER,B,CAR,ES,140-150,B,0.0,3
292,9,M,A,50,1,43,N,50,BER,B,INJ,ES,130-140,A,0.0,3
90,9,M,A,50,2,32,N,90,BER,B,INJ,ES,140-150,B,0.0,3
197,7,M,A,50,2,34,N,54,BER,B,INJ,ES,140-150,B,0.0,3
281,10,M,A,55,2,42,N,56,BER,B,CAR,ES,001-130,B,0.0,3
361,10,M,A,60,1,68,O,62,BER,B,CAR,ES,140-150,B,0.0,3
412,10,F,A,55,2,54,N,90,BER,B,CAR,ES,140-150,B,0.0,3
139,9,M,A,48,3,32,N,80,BER,B,CAR,ES,130-140,A,0.0,3
581,9,M,A,60,1,70,O,51,BER,B,CAR,ES,130-140,A,0.0,3
205,10,M,C,55,1,37,O,50,BER,B,CAR,ES,150-160,B,0.0,3
556,10,M,A,60,1,65,N,50,BER,B,CAR,ES,130-140,B,0.0,3
633,10,F,C,55,2,74,N,50,BER,B,CAR,ES,001-130,A,0.0,3
171,7,F,C,1,3,33,N,100,BER,B,INJ,ES,140-150,B,0.0,3
263,10,F,A,50,2,47,N,100,BER,B,CAR,ES,140-150,B,0.0,3
204,10,M,A,50,2,45,N,50,BER,B,CAR,ES,140-150,A,0.0,3
24,10,F,C,26,2,22,N,90,BER,B,CAR,ES,001-130,A,0.0,3
327,10,F,A,47,2,45,O,50,BER,B,CAR,ES,130-140,A,0.0,3
96,10,F,C,26,2,27,N,80,BER,C,CAR,ES,140-150,B,0.0,3
197,10,F,C,55,2,35,N,95,BER,C,CAR,ES,140-150,B,0.0,3
351,2,F,C,1,3,48,N,50,BER,C,INJ,ES,140-150,B,391.0722054,3
60,10,F,C,26,2,25,N,80,BER,C,CAR,ES,130-140,B,0.0,3
483,5,F,A,50,2,58,N,50,BER,C,INJ,ES,150-160,A,0.0,3
184,10,F,A,55,3,33,N,51,BER,C,CAR,ES,140-150,B,0.0,3
167,4,F,C,42,2,41,N,80,BER,C,INJ,ES,150-160,B,0.0,3
478,7,F,A,48,3,59,N,50,BER,C,INJ,ES,130-140,A,0.0,1
152,10,M,C,48,1,31,O,64,BER,C,CAR,ES,140-150,B,0.0,3
150,10,M,C,50,1,32,N,68,BER,C,CAR,ES,140-150,B,0.0,2
442,10,M,A,50,2,56,N,50,BER,C,CAR,ES,150-160,B,0.0,1
552,10,M,A,60,1,74,N,50,BER,C,CAR,ES,150-160,B,0.0,3
398,10,M,A,50,2,53,N,50,BER,C,CAR,ES,140-150,B,0.0,3
176,10,M,C,55,2,34,N,80,BER,C,CAR,ES,140-150,B,0.0,3
444,10,M,A,55,2,57,N,50,BER,C,CAR,ES,001-130,A,0.0,3
400,10,M,A,50,1,53,N,50,BER,C,CAR,ES,140-150,B,0.0,3
259,7,M,C,55,2,41,N,72,BER,C,INJ,ES,130-140,M1,0.0,3
101,10,M,C,50,3,29,N,80,BER,C,CAR,ES,140-150,B,0.0,3
356,9,M,A,55,1,59,N,54,BER,C,INJ,ES,140-150,M1,0.0,3
232,10,M,C,50,2,38,N,95,BER,C,CAR,ES,140-150,B,0.0,1
117,10,F,A,50,1,27,O,76,BER,C,CAR,ES,140-150,B,0.0,3
160,10,F,A,50,2,33,N,90,BER,C,CAR,ES,140-150,B,0.0,3
78,10,F,C,50,1,24,N,95,BER,C,CAR,ES,130-140,A,0.0,3
133,10,F,A,40,2,29,N,54,BER,C,CAR,ES,150-160,B,0.0,3
129,9,F,C,50,1,29,N,72,BER,C,INJ,ES,150-160,B,0.0,3
316,10,F,A,50,1,51,O,50,BER,C,CAR,ES,130-140,A,0.0,3
13,10,F,C,50,1,31,N,95,BER,C,CAR,ES,140-150,B,0.0,3
128,10,F,A,1,1,32,N,90,BER,C,CAR,ES,130-140,B,0.0,3
170,10,F,A,50,2,32,O,50,BER,C,CAR,ES,140-150,B,0.0,3
281,10,F,A,50,1,56,N,50,BER,C,CAR,ES,140-150,B,0.0,3
563,4,F,A,60,1,67,O,54,BER,C,INJ,ES,150-160,A,0.0,3
22,10,F,C,42,2,26,N,95,BER,C,CAR,ES,140-150,B,0.0,3
72,10,F,C,50,2,24,N,80,BER,C,CAR,ES,130-140,0,0.0,3
390,4,F,A,50,3,52,N,72,BER,C,INJ,ES,150-160,A,0.0,3
331,9,F,A,37,1,49,O,50,BER,C,INJ,ES,140-150,B,0.0,3
110,7,F,A,50,2,27,N,80,BER,C,INJ,ES,150-160,B,0.0,3
228,2,F,C,55,1,37,N,72,BER,C,INJ,ES,150-160,B,0.0,1
116,9,F,A,50,2,29,N,80,BER,C,INJ,ES,150-160,B,0.0,3
578,10,F,A,60,1,69,N,50,BER,C,CAR,ES,150-160,B,0.0,3
103,10,F,C,50,1,26,N,85,BER,C,CAR,ES,140-150,B,0.0,3
503,10,F,A,60,1,75,O,50,BER,C,CAR,ES,140-150,B,0.0,3
354,10,F,C,1,2,49,O,50,BER,C,INJ,ES,140-150,B,0.0,3
108,9,F,C,26,2,27,N,60,BER,C,INJ,ES,140-150,B,0.0,3
77,9,F,C,50,2,24,N,76,BER,C,INJ,ES,140-150,B,0.0,3
452,10,F,A,50,2,56,O,51,BER,C,CAR,ES,140-150,B,0.0,3
456,10,F,A,60,1,66,N,50,BER,C,CAR,ES,140-150,B,0.0,3
293,10,F,C,50,2,49,O,72,BER,C,CAR,ES,140-150,B,0.0,3
322,10,F,A,50,1,45,N,50,BER,C,CAR,ES,140-150,B,0.0,3
416,10,F,A,50,1,56,N,50,BER,C,CAR,ES,140-150,B,0.0,3
444,9,F,A,50,2,55,N,50,BER,C,INJ,ES,140-150,A,0.0,3
91,10,F,C,50,2,30,N,90,BER,C,CAR,ES,130-140,B,0.0,3
110,10,F,C,50,2,29,N,95,BER,C,CAR,ES,140-150,B,0.0,3
39,9,F,C,50,2,23,N,85,BER,C,INJ,ES,150-160,B,0.0,3
178,5,F,C,50,1,32,O,59,BER,C,INJ,ES,150-160,A,0.0,3
124,10,F,C,55,2,29,N,76,BER,C,CAR,ES,150-160,B,0.0,3
141,9,F,A,50,1,30,N,80,BER,C,INJ,ES,140-150,B,0.0,3
401,10,F,A,50,1,56,N,95,BER,C,INJ,ES,140-150,B,0.0,3
286,10,F,A,55,1,45,O,50,BER,C,CAR,ES,140-150,B,0.0,3
45,10,F,C,26,2,22,N,95,BER,C,CAR,ES,150-160,B,0.0,3
191,10,F,C,50,1,34,N,76,BER,C,CAR,ES,140-150,B,0.0,3
122,2,F,C,55,2,29,N,118,BER,C,INJ,ES,150-160,B,0.0,3
